trialnum	subject	answerPos0	answer0	response0	correct0	answerPos1	answer1	response1	correct1	cueSpatialPos	cueEccentricity	timingBlips
121 	12 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[1, 0] 	3 	0
122 	12 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	9 	0
123 	12 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[-1, 0] 	1.5 	0
124 	12 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	6.5 	0
125 	12 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[1, 0] 	3 	0
126 	12 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[-1, 0] 	3 	0
127 	12 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	9 	0
128 	12 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[-1, 0] 	6.5 	0
129 	12 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	6.5 	0
130 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	1.5 	0
131 	12 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[1, 0] 	9 	0
132 	12 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[1, 0] 	3 	0
133 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	6.5 	0
