trialnum,subject,answerPos0,answer0,response0,correct0,answerPos1,answer1,response1,correct1,cueSpatialPos,cueEccentricity,timingBlips
171,23,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",1.5,0
172,23,10,B ,B ,1,10,G ,G ,1,"[-1, 0] ",1.5,0
173,23,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",9,0
174,23,10,G ,G ,1,8,B ,B ,1,"[-1, 0] ",6.5,0
175,23,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",3,0
176,23,10,B ,B ,1,10,G ,G ,1,"[-1, 0] ",6.5,0
177,23,10,B ,G ,0,11,G ,B ,0,"[-1, 0] ",3,0
178,23,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",9,0
179,23,10,G ,G ,1,9,B ,B ,1,"[-1, 0] ",1.5,0
180,23,10,B ,B ,1,12,G ,G ,1,"[1, 0] ",6.5,0
181,23,10,B ,G ,0,11,G ,B ,0,"[1, 0] ",3,0
182,23,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",1.5,0
183,23,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",6.5,0
184,23,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",6.5,0
185,23,10,B ,G ,0,10,G ,B ,0,"[1, 0] ",1.5,0
186,23,10,B ,B ,1,10,G ,G ,1,"[-1, 0] ",9,0
187,23,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",1.5,0
188,23,10,G ,G ,1,9,B ,B ,1,"[-1, 0] ",9,0
189,23,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",6.5,0
190,23,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",9,0
191,23,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",9,0
192,23,10,G ,G ,1,9,B ,B ,1,"[-1, 0] ",3,0
193,23,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",1.5,0
194,23,10,B ,G ,0,10,G ,B ,0,"[-1, 0] ",3,0
195,23,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",3,0
196,23,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",3,0
197,23,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",9,0
198,23,10,B ,B ,1,12,G ,G ,1,"[1, 0] ",3,0
199,23,10,G ,G ,1,8,B ,B ,1,"[-1, 0] ",3,0
200,23,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",3,0
201,23,10,B ,B ,1,12,G ,G ,1,"[-1, 0] ",6.5,0
202,23,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",1.5,0
203,23,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",3,0
204,23,10,B ,B ,1,12,G ,G ,1,"[1, 0] ",1.5,0
205,23,10,G ,G ,1,8,B ,B ,1,"[-1, 0] ",1.5,0
206,23,10,G ,B ,0,6,B ,G ,0,"[1, 0] ",1.5,0
207,23,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",1.5,0
208,23,10,B ,B ,1,12,G ,G ,1,"[-1, 0] ",1.5,0
209,23,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",1.5,0
210,23,10,G ,G ,1,8,B ,B ,1,"[-1, 0] ",9,0
211,23,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",6.5,0
212,23,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",9,0
213,23,10,B ,B ,1,10,G ,G ,1,"[1, 0] ",9,0
214,23,10,B ,B ,1,11,G ,G ,1,"[1, 0] ",1.5,0
215,23,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",6.5,0
216,23,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",9,0
217,23,10,B ,B ,1,12,G ,G ,1,"[-1, 0] ",9,0
218,23,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",9,0
219,23,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",3,0
220,23,10,B ,G ,0,10,G ,B ,0,"[1, 0] ",3,0
221,23,10,B ,B ,1,12,G ,G ,1,"[1, 0] ",1.5,0
222,23,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",6.5,0
223,23,10,B ,G ,0,10,G ,B ,0,"[1, 0] ",9,0
224,23,10,B ,G ,0,11,G ,B ,0,"[1, 0] ",3,0
225,23,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",9,0
226,23,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",6.5,0
227,23,10,B ,G ,0,11,G ,B ,0,"[1, 0] ",9,0
228,23,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",6.5,0
229,23,10,G ,B ,0,9,B ,G ,0,"[-1, 0] ",6.5,0
230,23,10,B ,G ,0,13,G ,B ,0,"[1, 0] ",9,0
231,23,10,G ,G ,1,9,B ,B ,1,"[-1, 0] ",1.5,0
232,23,10,G ,G ,1,8,B ,B ,1,"[-1, 0] ",1.5,0
233,23,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",9,0
234,23,10,G ,G ,1,8,B ,B ,1,"[-1, 0] ",6.5,0
235,23,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",3,0
236,23,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",9,0
237,23,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",1.5,0
238,23,10,G ,G ,1,9,B ,B ,1,"[-1, 0] ",3,0
239,23,10,B ,B ,1,11,G ,G ,1,"[1, 0] ",1.5,0
240,23,10,B ,B ,1,12,G ,G ,1,"[-1, 0] ",3,0
241,23,10,B ,B ,1,11,G ,G ,1,"[-1, 0] ",3,0
242,23,10,B ,G ,0,10,G ,B ,0,"[-1, 0] ",1.5,0
243,23,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",9,0
244,23,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",3,0
245,23,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",9,0
246,23,10,B ,B ,1,12,G ,G ,1,"[1, 0] ",6.5,0
247,23,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",1.5,0
248,23,10,B ,G ,0,11,G ,B ,0,"[-1, 0] ",6.5,0
249,23,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",1.5,0
